form_file,object_name,object_type,base_class,member,member_kind,purpose,source_tables,status,new_location,reason_code,reason_detail
form/MENU_ART000.SCX,Page7.Command1,commandbutton,commandbutton,Click,button_click,Progressivi anno in corso / movimentazioni articolo,U_MAG_MO,NOT_MIGRATED,,DUPLICATE,Movimentazioni gia' coperte dalla valorizzazione magazzino (/magazzino/valorizzazione)
form/MENU_ART000.SCX,cmdConversioniUM,commandbutton,commandbutton,Click,button_click,Tabella conversioni unita' di misura,PARA,NOT_MIGRATED,,DEFERRED,Conversioni UM non necessarie in consultazione
form/MENU_ART000.SCX,chkART_FLGOFF/chkART_FLGNEW,checkbox,checkbox,Valid,event,Flag web Offerta/Novita' (tab Web),U_ART_PR,NOT_MIGRATED,,OUT_OF_SCOPE,Campi e-commerce non inclusi nella consultazione
form/MENU_ORD000.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Ordini clienti',U_ORD_TT;U_ORD_DD,MIGRATED,template ordini/list.html + ordini/detail.html; endpoint GET /ordini,,
form/MENU_ORD000.SCX,Formset1,formset,formset,savesql,method,Salvataggio ordine (testata+righe) su SQL,U_ORD_TT;U_ORD_DD,NOT_MIGRATED,,WRITE_SIDE,Gestione ordini resta su VFP; slice web e' consultazione read-only
form/MENU_ORD000.SCX,Formset1,formset,formset,loadvar/savevar,method,Carica/salva memvar M.ORD_* del documento corrente,U_ORD_TT;U_ORD_DD,MIGRATED,controller OrderController#detail (lettura via JPA),,
form/MENU_ORD000.SCX,Formset1,formset,formset,calcola_prznetto,method,Calcolo prezzo netto riga da sconti,U_ORD_DD,NOT_MIGRATED,,WRITE_SIDE,Calcolo in inserimento; in consultazione si espone ORD_PRZNET gia' memorizzato
form/MENU_ORD000.SCX,Formset1,formset,formset,calcola_totale_documento,method,Ricalcolo totali documento (imponibile/imposta),U_ORD_TT,PARTIAL,entity OrderHead#getTotal (somma imponibile+imposta memorizzati),DEFERRED,Il ricalcolo da righe e' write-side; il web espone i totali memorizzati
form/MENU_ORD000.SCX,Formset1,formset,formset,determinasaldicliente,method,Verifica esposizione/saldi cliente,PART_CLI;CONTI,NOT_MIGRATED,,DUPLICATE,Saldi cliente gia' consultabili dai partitari (/contabilita/partitari/clienti)
form/MENU_ORD000.SCX,Page5.Grid1,grid,grid,PROPERTY:RecordSource,property,Griglia righe ordine (13 colonne; RecordSource impostato a runtime),U_ORD_DD,MIGRATED,template ordini/detail.html tabella Righe ordine; OrderRowRepository#findRows,,
form/MENU_ORD000.SCX,Command3(righe),commandbutton,commandbutton,Click,button_click,Stampa ordine,U_ORD_TT;U_ORD_DD,NOT_MIGRATED,,PRINT_REPORT,Stampa legacy (.frx); gestione stampe web separata
form/MENU_ORD000.SCX,Command2(righe),commandbutton,commandbutton,Click,button_click,Aggiungi riga ordine,U_ORD_DD,NOT_MIGRATED,,WRITE_SIDE,Data-entry righe riservato al gestionale
form/MENU_ORD000.SCX,Command7/Command8,commandbutton,commandbutton,Click,button_click,Modifica/Cancella riga ordine,U_ORD_DD,NOT_MIGRATED,,WRITE_SIDE,Data-entry righe riservato al gestionale
form/MENU_ORD000.SCX,Command16,commandbutton,commandbutton,Click,button_click,Vedi saldi cliente,PART_CLI,NOT_MIGRATED,,DUPLICATE,Coperto dai partitari clienti
form/MENU_ORD000.SCX,Command22,commandbutton,commandbutton,Click,button_click,Rateizza ordine,U_ORD_TT,NOT_MIGRATED,,WRITE_SIDE,Rateizzazione modifica la testata; fuori dalla consultazione
form/MENU_ORD000.SCX,cmdInviaMailNotifica,commandbutton,commandbutton,Click,button_click,Invio e-mail di notifica ordine,U_ORD_TT,NOT_MIGRATED,,OUT_OF_SCOPE,Invio e-mail non incluso nella consultazione
form/MENU_ORD000.SCX,TASTO_SCAD,commandbutton,commandbutton,Click,button_click,Scadenze speciali dell'ordine,U_ORD_TT,NOT_MIGRATED,,DEFERRED,Scadenze documento rinviate a slice scadenzario
form/menu_BOL000.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Documenti di trasporto',U_BOL_TT;U_BOL_DD,MIGRATED,template ddt/list.html + ddt/detail.html; endpoint GET /ddt,,
form/menu_BOL000.SCX,Formset1,formset,formset,savesql,method,Salvataggio DDT (testata+righe) su SQL,U_BOL_TT;U_BOL_DD,NOT_MIGRATED,,WRITE_SIDE,Gestione DDT resta su VFP; slice web e' consultazione read-only
form/menu_BOL000.SCX,Formset1,formset,formset,loadvar/savevar,method,Carica/salva memvar del documento corrente,U_BOL_TT;U_BOL_DD,MIGRATED,controller DdtController#detail (lettura via JPA; join TAGGANCIO=DAGGANCIO),,
form/menu_BOL000.SCX,GridRighe,grid,grid,PROPERTY:RecordSource,property,Griglia righe DDT (RecordSource impostato a runtime),U_BOL_DD,MIGRATED,template ddt/detail.html tabella Righe DDT; DdtRowRepository#findByAggancio,,
form/menu_BOL000.SCX,cmdStampa,commandbutton,commandbutton,Click,button_click,Stampa DDT,U_BOL_TT;U_BOL_DD,NOT_MIGRATED,,PRINT_REPORT,Stampa legacy (.frx); gestione stampe web separata
form/menu_BOL000.SCX,cmdEvasioneOrdini,commandbutton,commandbutton,Click,button_click,Evasione ordini in DDT (ordtobol),U_ORD_DD;U_BOL_DD,NOT_MIGRATED,,WRITE_SIDE,Flusso di evasione riservato al gestionale
form/menu_BOL000.SCX,MovimentiMagazzino,form,form,vari,method,Generazione movimenti di magazzino da DDT,U_MAG_MO,NOT_MIGRATED,,WRITE_SIDE,Scrittura movimenti riservata al gestionale
form/MENU_FAT000.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Fatture di vendita',U_FAT_TT;U_FAT_DD,MIGRATED,template fatture/list.html + fatture/detail.html; endpoint GET /fatture,,
form/MENU_FAT000.SCX,Formset1,formset,formset,savesql,method,Salvataggio fattura (testata+righe) su SQL,U_FAT_TT;U_FAT_DD,NOT_MIGRATED,,WRITE_SIDE,Emissione fatture resta su VFP; slice web e' consultazione read-only
form/MENU_FAT000.SCX,Formset1,formset,formset,loadvar/savevar,method,Carica/salva memvar del documento corrente,U_FAT_TT;U_FAT_DD,MIGRATED,controller InvoiceController#detail (lettura via JPA; join TAGGANCIO=DAGGANCIO),,
form/MENU_FAT000.SCX,GridRighe,grid,grid,PROPERTY:RecordSource,property,Griglia righe fattura (RecordSource impostato a runtime),U_FAT_DD,MIGRATED,template fatture/detail.html tabella Righe fattura; InvoiceRowRepository#findByAggancio,,
form/MENU_FAT000.SCX,cmdStampa,commandbutton,commandbutton,Click,button_click,Stampa fattura,U_FAT_TT;U_FAT_DD,NOT_MIGRATED,,PRINT_REPORT,Stampa legacy (.frx); gestione stampe web separata
form/MENU_FAT000.SCX,cmdFattElettronica,commandbutton,commandbutton,Click,button_click,Generazione/invio XML fattura elettronica (FATTURAZIONE_ELETTRONICA_LIB),U_FAT_TT;PARA,NOT_MIGRATED,,NEEDS_DOMAIN,FE e' dominio di Erasmo (FATTURAZIONE_ELETTRONICA_LIB.PRG); il web espone i flag ORD_TRASME/ORD_IDSDI in sola lettura
form/MENU_FAT000.SCX,ContabilizzaFattura,form,form,vari,method,Contabilizzazione fattura in primanota (CONTABILELIB),U_FAT_TT;MOV_CONT,NOT_MIGRATED,,WRITE_SIDE,Posting contabile riservato alle sessioni Opus con Erasmo
form/menu_FAP000.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Fatture proforma',U_FAP_TT;U_FAP_DD,MIGRATED,template proforma/list.html + proforma/detail.html; endpoint GET /proforma,,
form/menu_FAP000.SCX,Formset1,formset,formset,savesql,method,Salvataggio proforma (testata+righe) su SQL,U_FAP_TT;U_FAP_DD,NOT_MIGRATED,,WRITE_SIDE,Emissione proforma resta su VFP; slice web e' consultazione read-only
form/menu_FAP000.SCX,GridRighe,grid,grid,PROPERTY:RecordSource,property,Griglia righe proforma (RecordSource impostato a runtime),U_FAP_DD,MIGRATED,template proforma/detail.html; ProformaRowRepository#findByAggancio,,
form/MENU_RISTAMPA_DOC.SCX,Form1,form,form,PROPERTY:Caption,property,Titolo maschera 'Ristampa documenti',TUTTI GLI ARCHIVI DOCUMENTO,MIGRATED,template documenti/list.html + documenti/detail.html; endpoint GET /documenti,,
form/MENU_RISTAMPA_DOC.SCX,Combo1,combobox,combobox,PROPERTY:RowSource,property,Selettore tipo documento (array A_SCELTE: 16 tipi),PARA,PARTIAL,dto/documenti/DocumentType (9 tipi verificati: ORD/OFF/ORF/BOL/BFO/RDC/FAP/FAT/INR),NEEDS_DOMAIN,RFI/ORT/REC/REF/BOF/BCL condividono tabella senza discriminatore visibile nei sorgenti; FAF: U_FAF_TT assente nel DB Impresind
form/MENU_RISTAMPA_DOC.SCX,Command6,commandbutton,commandbutton,Click,button_click,Ricerca: selezione archivio dinamica &_V_ARCH_TT + condizioni (anno/periodo/numeri/cliente/riferimento/articolo via taggancio),TUTTI GLI ARCHIVI,MIGRATED,DocumentArchiveDao#search/#count (identificatori da enum DocumentType; join PARA 'TOP'+ORD_CAUS e 'AGE'+ORD_AGE come il legacy),,
form/MENU_RISTAMPA_DOC.SCX,Grid1,grid,grid,PROPERTY:ControlSource,property,Griglia 24 colonne (Numero=ORD_NUMORD e Data=ORD_DATORD per TUTTI i tipi; Valore con IVA; causale; agente),TUTTI GLI ARCHIVI,PARTIAL,template documenti/list.html (8 colonne consultazione),DEFERRED,Colonne operative (Sel./e-mail/Cc/Ccn/XML/ultimo invio/collaudo/risorse) legate ad azioni non migrate
form/MENU_RISTAMPA_DOC.SCX,Command10,commandbutton,commandbutton,Click,button_click,Stampa dei documenti selezionati (report .frx per tipo),TUTTI GLI ARCHIVI,NOT_MIGRATED,,PRINT_REPORT,Ristampa fisica legacy; gestione stampe web separata
form/MENU_RISTAMPA_DOC.SCX,chk_V_OPZEMAIL,checkbox,checkbox,Valid,event,Invio e-mail dei documenti (RISTAMPA_DOC_INVIA_EMAIL),LOG_EMAIL,NOT_MIGRATED,,OUT_OF_SCOPE,Invio e-mail non incluso nella consultazione
form/MENU_RISTAMPA_DOC.SCX,Check2,checkbox,checkbox,Valid,event,Crea fatture elettroniche (FATTURAZIONE_ELETTRONICA_LIB + filtri cli_fatelett/PARA TOP reverse charge),U_FAT_TT;PARA;U_ANA_CL,NOT_MIGRATED,,NEEDS_DOMAIN,Generazione FE e' dominio di Erasmo; i filtri FE del form sono documentati nella slice doc
form/MENU_RISTAMPA_DOC.SCX,chk_V_OPZDISCONT,checkbox,checkbox,Valid,event,Controllo sequenza numerazione (FAT/BOL senza filtri),U_FAT_TT;U_BOL_TT,NOT_MIGRATED,,DEFERRED,Utile audit; candidabile a slice dedicata di verifica numerazione
form/MENU_RISTAMPA_DOC.SCX,RISTAMPA_DOC_AGG_DATI_DDT,form,form,vari,method,Aggiornamento altri dati nella DDT (colonna 11 della griglia),U_BOL_TT,NOT_MIGRATED,,WRITE_SIDE,Scrittura su tabella legacy; riservato al gestionale
form/menu_movimenti_mag.SCX,Form1,form,form,PROPERTY:Caption,property,Maschera 'Movimenti magazzino' (griglia 63 colonne su U_MAG_MO),U_MAG_MO;PARA,MIGRATED,template magazzino/movimenti.html; endpoint GET /magazzino/movimenti (colonne principali; causale MOV_TOP decodificata via PARA 'TOP'+codice come la query legacy),,
form/menu_movimenti_mag.SCX,cercamov_u_mag_mo,form,form,cercamov_u_mag_mo,method,Ricerca movimenti con filtri (periodo/causale/articolo/fornitore/documento),U_MAG_MO,PARTIAL,WarehouseMovementRepository#search (anno fiscale + ricerca libera su articolo/documento/causale/cliente/fornitore),DEFERRED,Filtri puntuali per periodo e range numerici candidabili al framework filtri-per-colonna (Opus)
form/menu_movimenti_mag.SCX,aggiorna_dati,form,form,vari,method,Modifiche massive su movimenti (UPDATE U_MAG_MO: seriale/fornitore supp./numero doc),U_MAG_MO,NOT_MIGRATED,,WRITE_SIDE,Scritture su tabella legacy; riservato al gestionale
form/menu_giacenze.SCX,Form1,form,form,PROPERTY:Caption,property,Situazione giacenze (aggregazione SUM(MAG_GIACEN) GROUP BY MAG_ANAART),U_MAG_GG,MIGRATED,template magazzino/giacenze.html; endpoint GET /magazzino/giacenze (StockBalanceDao: GROUP BY articolo+magazzino con badge Negativa / Zero con storico; voce menu '=determina_form_giacenze()' agganciata via FUNCTION_TO_URL),,
form/menu_giacenze.SCX,valorizzazione,form,form,vari,method,Valorizzazione giacenze a costo/prezzo,U_MAG_GG;U_MAG_MO,NOT_MIGRATED,,DUPLICATE,Esiste gia' la valorizzazione FIFO web (/magazzino/valorizzazione)
form/MENU_DIS000.SCX,Form1,form,form,PROPERTY:Caption,property,Aggiornamento distinta base (testata+componenti; DIT_GRUPPO=articolo padre via U_ART_PR.ART_CODPRI),U_DIS_TT;U_DIS_DD,PARTIAL,Consultazione: templates distinte/list.html + distinte/detail.html; endpoint GET /distinte (componenti primo livello; DIS_ESPLOD='X' = link sotto-distinta),WRITE_SIDE,Inserimento/modifica distinta restano sul gestionale
form/MENU_DIS000.SCX,esplosione,form,form,menu_disesp,method,Esplosione ricorsiva multi-livello della distinta e ricalcolo costi/prezzi (DISTINTA_BASE_LIB),U_DIS_TT;U_DIS_DD;U_ART_PR,NOT_MIGRATED,,DEFERRED,Calcolo non consultazione; esplosione completa e costing in slice futura
form/STD_PROGRAMMAZIONE.SCX,Form1,form,form,PROPERTY:Caption,property,Programmazione della produzione STANDARD (PRODUZIONE: PARENT='' AND TIPO='STD' verificato nei sorgenti),PRODUZIONE;PROD_ORDINI;PROD_LEGAMI;PROD_AVANZA;PARA,MIGRATED,templates produzione/list.html + produzione/detail.html; endpoint GET /produzione (programmi radice STD; dettaglio con ordini/componenti/avanzamenti per IDPRG; GRUPRD decodificato via PARA 'PRD'),,
form/STD_PROGRAMMAZIONE.SCX,programmazione,form,form,vari,method,Creazione/modifica programmi e aggancio ordini (INSERT/DELETE PRODUZIONE e PROD_*),PRODUZIONE;PROD_ORDINI,NOT_MIGRATED,,WRITE_SIDE,Programmazione operativa resta sul gestionale
form/STD_AVANZA.SCX,Form1,form,form,PROPERTY:Caption,property,Avanzamento produzione (registrazione quantita' prodotte per fase),PROD_AVANZA,NOT_MIGRATED,,WRITE_SIDE,Data-entry di avanzamento; la CONSULTAZIONE degli avanzamenti e' nel dettaglio /produzione/{id}
form/STD_PROGRAMMAZIONE.SCX,produzioni_non_standard,form,form,vari,method,Varianti produzione non-standard (generica/molle/tessuti/lavorazioni PRODBOBI-PRODPEDANA-PRODSPAL-PRODMACC),PRODUZIONE,NOT_MIGRATED,,OUT_OF_SCOPE,Escluse per mandato sessione 2; solo TIPO='STD' migrato
form/MENU_ORF000.SCX,Form1,form,form,PROPERTY:Caption,property,Aggiornamento ordini di acquisto (stesso form gestisce anche le PROPOSTE ordini via flag di lancio),U_ORF_TT;U_ORF_DD,PARTIAL,Consultazione: templates ordini-fornitore/list+detail; endpoint GET /ordini-fornitore (speculare a /ordini; qta ordinata vs evasa ORD_QTAEV; ordine cliente collegato ORD_NUMORC/DATORC),NEEDS_DOMAIN,Nessuna colonna discriminante proposta/ordine visibile nei sorgenti: la lista mostra l'intero archivio; chiedere a Erasmo come distinguere le proposte
form/MENU_ORF000.SCX,scritture,form,form,vari,method,Inserimento/modifica/evasione ordini e generazione da ordine cliente (menu_ordtoorf),U_ORF_TT;U_ORF_DD,NOT_MIGRATED,,WRITE_SIDE,Scritture; restano sul gestionale
form/MENU_BFO000.SCX,Form1,form,form,PROPERTY:Caption,property,Carico da fornitore (entrata merce; il form gestione non e' presente nel repo SVN ma la voce tbl_menu e le tabelle sono verificate),U_BFO_TT;U_BFO_DD,PARTIAL,Consultazione: templates ddt-fornitore/list+detail; endpoint GET /ddt-fornitore (ORD_TIPO=9 badge Reso da cliente; righe con ordine fornitore ORC e fattura fornitore MOV_NUMFAT),WRITE_SIDE,Carico effettivo e movimentazione magazzino restano sul gestionale. NOTA ARCHIVI: U_BOF_* (handoff) e' il flusso 'bollette fiscali' verso CLIENTI (BOFCONSE apre U_CLI_AN; label 'Scarico con bolletta fiscale'): archivio entrata merce = U_BFO_*
form/BOFCONSE.SCX,Form1,form,form,PROPERTY:Caption,property,Riepilogo delle consegne (bollette fiscali U_BOF_* verso clienti),U_BOF_TT;U_BOF_DD;U_CLI_AN,NOT_MIGRATED,,NEEDS_DOMAIN,Flusso bollette fiscali distinto dai carichi fornitore: verificare con Erasmo se Impresind lo usa prima di migrarlo
form/MENU_AGE000.SCX,Form1,form,form,PROPERTY:Caption,property,Anagrafica agenti,U_AGE_AN,PARTIAL,Consultazione: templates agenti/list+detail; endpoint GET /agenti,WRITE_SIDE,Aggiornamento anagrafico sul gestionale; campi provvigionali avanzati (scaglioni AGE_SCAPROV0-9 e maturazione) non esposti
form/MENU_BAN000.SCX,Form1,form,form,PROPERTY:Caption,property,Anagrafica banche,U_BAN_AN,PARTIAL,Consultazione: templates banche/list+detail; endpoint GET /banche (ABI/CAB/CIN/IBAN/SWIFT),WRITE_SIDE,Aggiornamento anagrafico sul gestionale; conti contabili collegati (BAN_CONCON/BAN_CONRIC) rinviati alla contabilita'
form/MENU_CAR000.SCX,Form1,form,form,PROPERTY:Caption,property,Gestione agenti per capo area (% provvigione su imponibile del venduto),U_CAR_AN,PARTIAL,Consultazione: template capi-area/list.html; endpoint GET /capi-area. NOTA: l'handoff ipotizzava 'vettori': smentito dai sorgenti (caption e label del form); vettori = PARA VET gia' in /parametri/VET,WRITE_SIDE,Aggiornamento associazioni sul gestionale; stampa provvigioni per capo area (MENU_PRVDSTAC) = PRINT_REPORT
form/MENU_CARSTA.SCX,Form1,form,form,PROPERTY:Caption,property,Elenco agenti del capo area (stampa),U_CAR_AN,NOT_MIGRATED,,PRINT_REPORT,La consultazione equivalente e' la lista /capi-area
tabella/U_PAG_AN,archivio,table,table,,table,Archivio referenziato solo da replica (REPLIB) e pulizia (PULISCI_ARCHIVI/menu_faichiu); colonne = incassi/acconti su ordine (PAG_CODCLI PAG_NUMORD PAG_DATINC PAG_VALORE),U_PAG_AN,NOT_MIGRATED,,NOT_APPLICABLE,NON sono le condizioni di pagamento (quelle sono PARA CPA gia' in /parametri/CPA); nessun form vivo lo usa: archivio morto/legacy
form/MENU_AZI000.SCX,Form1,form,form,PROPERTY:Caption,property,Definizione dati azienda: 845 controlli-parametro su 14 tab (bindati a memvar M.AZI_* salvate in U_AZI_AN/PA/PB),U_AZI_AN;U_AZI_PA;U_AZI_PB,PARTIAL,Analisi DEEP di tutti i parametri esposti → catalogo src/main/resources/parametri/parametri_aziendali_catalog.csv (841 righe: 622 ALTA / 66 MEDIA / 153 INCERTO incluse 98 colonne assenti nel DB Impresind) + viewer read-only GET /parametri-aziendali,WRITE_SIDE,La MODIFICA dei parametri pilota il comportamento del gestionale: scrittura riservata a slice future (Opus). Architettura verificata: APPLILIB.AQUADOCU carica ogni AZI_X in PUB_X allo startup (712 mappature); gli usi reali sono sulle PUB_*
form/MENU_AZI000.SCX,AQUADOCU,form,form,startup,method,Caricamento parametri in variabili pubbliche PUB_* allo startup (APPLILIB.AQUADOCU),U_AZI_AN;U_AZI_PA;U_AZI_PB,MIGRATED,Documentato nel README del catalogo come chiave di lettura; il viewer legge i valori direttamente dalle tabelle (SELECT TOP 1 * metadata-driven),,
form/MENU_AZI000.SCX,salvataggio,form,form,vari,method,Salvataggio/validazione parametri (REPLACE su U_AZI_*),U_AZI_AN;U_AZI_PA;U_AZI_PB,NOT_MIGRATED,,WRITE_SIDE,Editing riservato a slice future con Opus
form/menu_cee000.SCX,Form1,form,form,PROPERTY:Caption,property,Definizione righe bilancio CEE (BILNEW: codice riga / tipo I-V-T / descrizione / importi corrente-precedente),BILNEW,PARTIAL,Analisi colonne in resources/cee/bilnew_struttura_catalog.csv; consultazione struttura in GET /contabilita/bilancio-cee-struttura,WRITE_SIDE,Editing struttura sul gestionale; validazione verbatim: I=Commenti V=Dettagli di riga T=Totali
form/menu_ceepdc.SCX,Form1,form,form,PROPERTY:Caption,property,Confluenza conti contabili su righe bilancio CEE (U_INT_TT: riga dare INT_CODRIG + riga avere alternativa INT_CODRIA se saldo negativo),U_INT_TT;BILNEW,PARTIAL,Regola decodificata in resources/cee/mappatura_conti_cee.csv; mappature consultabili nel viewer struttura,WRITE_SIDE,Help verbatim del form documentato nel README cee
form/menu_ceetot.SCX,Form1,form,form,PROPERTY:Caption,property,Confluenze righe bilancio CEE in righe totali (U_COR_TT: edge riga->totale con segno +/-),U_COR_TT;BILNEW,PARTIAL,Regola decodificata in resources/cee/mappatura_conti_cee.csv; composizione totali nel viewer struttura,WRITE_SIDE,La gerarchia dei totali vive QUI non in BILNEW
prg/ceecont.PRG,ceecont,prg,prg,main,method,Motore di calcolo bilancio CEE (3 fasi: reset+assegnazione saldi con regola dare/avere; ABS su righe economiche >=21600; totali da U_COR_TT). Opzione previsionali. Avvisi data-quality documentati,BILNEW;U_INT_TT;U_COR_TT;CONTI,NOT_MIGRATED,Pseudocodice completo per Opus in resources/cee/README.md,DEFERRED,Il calcolo e' riservato a Opus per mandato; casi 21900/24400 commentati nel sorgente ('da vedere col commercialista') = INCERTO business
form/menu_ceeanno.SCX,Form1,form,form,vari,method,Nuovo esercizio bilancio CEE (PRECEDENTE=CORRENTE; CORRENTE=0),BILNEW,NOT_MIGRATED,,WRITE_SIDE,Rollover documentato nel README cee
form/menu_stbilcee.SCX,Form1,form,form,vari,method,Stampa bilancio CEE (STBILCEE.FRX / STBILCEE_VERT.FRX; order by bil_codrig; stile dedicato alle righe TIPO_DATO='T'),BILNEW,NOT_MIGRATED,,PRINT_REPORT,La consultazione struttura e' nel viewer; i VALORI arriveranno col motore (Opus)
prg/CEESAVE.PRG,ceesave,prg,prg,main,method,Salvataggio BILNEW su floppy A: in formato SDF,BILNEW,NOT_MIGRATED,,NOT_APPLICABLE,Export su dischetto: obsoleto per definizione
